year,rank,id,name,team,pos,gms,pyds,ptd,pint,ryds,rtd,rec,reyds,retd,fum,fpts/g,fpts
2019,260,19043,Isaiah McKenzie,BUF,WR,14,0,0,0,49,0,27,254,1,0,2.6,36.3
2019,261,20837,Ty Johnson,DET,RB,16,0,0,0,273,0,24,109,0,1,2.3,36.2
2019,261,16917,CJ Uzomah,CIN,TE,16,0,0,0,0,0,27,242,2,0,2.3,36.2
2019,263,20876,Jakobi Meyers,NE,WR,15,0,0,0,0,0,26,359,0,0,2.4,35.9
2019,264,19916,Daesean Hamilton,DEN,WR,16,0,0,0,0,0,28,297,1,0,2.2,35.7
2019,265,18073,Jonathan Williams,IND,RB,9,0,0,0,235,1,5,59,0,0,3.9,35.4
2019,266,15305,Demetrius Harris,CLE,TE,15,0,0,0,0,0,15,149,3,0,2.3,34.9
2019,267,15215,Tavon Austin,DAL,WR,14,0,0,0,47,1,13,177,1,0,2.5,34.4
2019,268,7175,Delanie Walker IR,TEN,TE,7,0,0,0,0,0,21,215,2,0,4.8,33.5
2019,269,4633,Matt Schaub,ATL,QB,6,580,3,1,-3,0,0,0,0,1,5.5,32.9
2019,270,18717,Marvin Hall,DET,WR,9,0,0,0,7,0,7,261,1,0,3.6,32.8
2019,271,18118,Brandon Allen,DEN,QB,3,515,3,2,39,0,0,0,0,0,10.8,32.5
2019,272,15509,Jaron Brown P,SEA,WR,14,0,0,0,0,0,16,220,2,1,2.3,32
2019,273,19705,Greg Ward,PHI,WR,6,0,0,0,5,0,28,254,1,0,5.3,31.9
2019,274,20295,Vyncint Smith,NYJ,WR,13,0,0,0,52,1,17,225,0,1,2.4,31.7
2019,275,19937,Keke Coutee,HOU,WR,9,0,0,0,14,1,22,254,0,1,3.4,30.8
2019,276,14901,Kyle Juszczyk,SF,FB,12,0,0,0,7,0,20,239,1,0,2.6,30.6
2019,277,18039,Pharoh Cooper,ARI,WR,13,0,0,0,2,0,25,243,1,0,2.3,30.5
2019,277,20684,Malik Turner P,SEA,WR,14,0,0,0,0,0,15,245,1,0,2.2,30.5
2019,279,19067,Jeremy Sprinkle,WAS,TE,16,0,0,0,0,0,26,241,1,0,1.9,30.1
2019,280,12751,Charles Clay,ARI,TE,15,0,0,0,0,0,18,237,1,0,2,29.7
2019,280,18361,Chester Rogers,IND,WR,12,0,0,0,18,0,16,179,2,1,2.5,29.7
2019,280,20900,Qadree Ollison,ATL,RB,8,0,0,0,50,4,1,7,0,0,3.7,29.7
2019,283,14465,Jarius Wright,CAR,WR,16,0,0,0,-7,0,28,296,0,0,1.8,28.9
2019,284,3943,DeSean Jackson IR,PHI,WR,3,0,0,0,0,0,9,159,2,0,9.3,27.9
2019,284,17289,Jake Kumerow,GB,WR,14,0,0,0,0,0,12,219,1,0,2,27.9
